التاريخ,الفرع,الرصيد (بالدرهم)
2023-01-01,الدار البيضاء - المركز الرئيسي,4013125.34
2023-01-01,الرباط - أكدال,9641752.27
2023-01-01,مراكش - جليز,6356366.6
2023-01-01,طنجة - وسط المدينة,5642003.06
2023-01-01,فاس - النرجس,9404939.71
2023-01-02,الدار البيضاء - المركز الرئيسي,7508118.13
2023-01-02,الرباط - أكدال,8374857.44
2023-01-02,مراكش - جليز,5361571.37
2023-01-02,طنجة - وسط المدينة,4226216.79
2023-01-02,فاس - النرجس,5368358.49
2023-01-03,الدار البيضاء - المركز الرئيسي,12118585.6
2023-01-03,الرباط - أكدال,6416984.49
2023-01-03,مراكش - جليز,5653517.92
2023-01-03,طنجة - وسط المدينة,9139135.66
2023-01-03,فاس - النرجس,8371137.29
2023-01-04,الدار البيضاء - المركز الرئيسي,8733222.31
2023-01-04,الرباط - أكدال,12893401.08
2023-01-04,مراكش - جليز,8136101.51
2023-01-04,طنجة - وسط المدينة,7188875.08
2023-01-04,فاس - النرجس,9336798.33
2023-01-05,الدار البيضاء - المركز الرئيسي,8759522.1
2023-01-05,الرباط - أكدال,4949489.86
2023-01-05,مراكش - جليز,4716629.28
2023-01-05,طنجة - وسط المدينة,12999352.04
2023-01-05,فاس - النرجس,8585648.22
2023-01-06,الدار البيضاء - المركز الرئيسي,11258283.13
2023-01-06,الرباط - أكدال,7370654.44
2023-01-06,مراكش - جليز,5400071.62
2023-01-06,طنجة - وسط المدينة,6222244.25
2023-01-06,فاس - النرجس,11397406.19
2023-01-07,الدار البيضاء - المركز الرئيسي,12712726.43
2023-01-07,الرباط - أكدال,9122208.92
2023-01-07,مراكش - جليز,8768154.62
2023-01-07,طنجة - وسط المدينة,5909527.21
2023-01-07,فاس - النرجس,6704022.69
2023-01-08,الدار البيضاء - المركز الرئيسي,12011032.42
2023-01-08,الرباط - أكدال,6451589.21
2023-01-08,مراكش - جليز,6062205.69
2023-01-08,طنجة - وسط المدينة,8124095.88
2023-01-08,فاس - النرجس,11442267.61
2023-01-09,الدار البيضاء - المركز الرئيسي,12295702.1
2023-01-09,الرباط - أكدال,6269308.73
2023-01-09,مراكش - جليز,8292055.33
2023-01-09,طنجة - وسط المدينة,11532837.51
2023-01-09,فاس - النرجس,10114273.56
2023-01-10,الدار البيضاء - المركز الرئيسي,9661756.18
2023-01-10,الرباط - أكدال,4421244.68
2023-01-10,مراكش - جليز,11255187.01
2023-01-10,طنجة - وسط المدينة,9432111.25
2023-01-10,فاس - النرجس,11502185.23
2023-01-11,الدار البيضاء - المركز الرئيسي,5764748.42
2023-01-11,الرباط - أكدال,12979185.19
2023-01-11,مراكش - جليز,10072084.65
2023-01-11,طنجة - وسط المدينة,4812445.22
2023-01-11,فاس - النرجس,7549629.55
2023-01-12,الدار البيضاء - المركز الرئيسي,5029557.74
2023-01-12,الرباط - أكدال,9963988.88
2023-01-12,مراكش - جليز,7844024.14
2023-01-12,طنجة - وسط المدينة,4181890.33
2023-01-12,فاس - النرجس,10084121.63
2023-01-13,الدار البيضاء - المركز الرئيسي,10401219.15
2023-01-13,الرباط - أكدال,11615982.02
2023-01-13,مراكش - جليز,8735868.51
2023-01-13,طنجة - وسط المدينة,12475402.55
2023-01-13,فاس - النرجس,4099703.95
2023-01-14,الدار البيضاء - المركز الرئيسي,10741411.52
2023-01-14,الرباط - أكدال,12346641.63
2023-01-14,مراكش - جليز,5671871.27
2023-01-14,طنجة - وسط المدينة,12312116.13
2023-01-14,فاس - النرجس,8424548.37
2023-01-15,الدار البيضاء - المركز الرئيسي,8800135.82
2023-01-15,الرباط - أكدال,7172325.9
2023-01-15,مراكش - جليز,6722589.31
2023-01-15,طنجة - وسط المدينة,8821578.0
2023-01-15,فاس - النرجس,8223082.31
2023-01-16,الدار البيضاء - المركز الرئيسي,7287646.74
2023-01-16,الرباط - أكدال,12120287.9
2023-01-16,مراكش - جليز,12988141.19
2023-01-16,طنجة - وسط المدينة,5290256.45
2023-01-16,فاس - النرجس,4616005.77
2023-01-17,الدار البيضاء - المركز الرئيسي,11362525.6
2023-01-17,الرباط - أكدال,12210568.4
2023-01-17,مراكش - جليز,10835525.9
2023-01-17,طنجة - وسط المدينة,10716516.16
2023-01-17,فاس - النرجس,12631228.84
2023-01-18,الدار البيضاء - المركز الرئيسي,6638921.05
2023-01-18,الرباط - أكدال,5632917.91
2023-01-18,مراكش - جليز,10237615.4
2023-01-18,طنجة - وسط المدينة,11611679.55
2023-01-18,فاس - النرجس,6556247.33
2023-01-19,الدار البيضاء - المركز الرئيسي,7954958.44
2023-01-19,الرباط - أكدال,8578672.89
2023-01-19,مراكش - جليز,7408707.56
2023-01-19,طنجة - وسط المدينة,9887061.18
2023-01-19,فاس - النرجس,8380420.1
2023-01-20,الدار البيضاء - المركز الرئيسي,9782999.47
2023-01-20,الرباط - أكدال,5847862.39
2023-01-20,مراكش - جليز,6170718.05
2023-01-20,طنجة - وسط المدينة,8412577.82
2023-01-20,فاس - النرجس,7170979.46
2023-01-21,الدار البيضاء - المركز الرئيسي,8975945.98
2023-01-21,الرباط - أكدال,10181641.13
2023-01-21,مراكش - جليز,4180885.85
2023-01-21,طنجة - وسط المدينة,7913667.73
2023-01-21,فاس - النرجس,4822077.42
2023-01-22,الدار البيضاء - المركز الرئيسي,4903978.87
2023-01-22,الرباط - أكدال,12533453.32
2023-01-22,مراكش - جليز,10717553.4
2023-01-22,طنجة - وسط المدينة,4766137.93
2023-01-22,فاس - النرجس,8841182.96
2023-01-23,الدار البيضاء - المركز الرئيسي,6454343.15
2023-01-23,الرباط - أكدال,7599109.42
2023-01-23,مراكش - جليز,10732714.16
2023-01-23,طنجة - وسط المدينة,10323640.68
2023-01-23,فاس - النرجس,6888624.18
2023-01-24,الدار البيضاء - المركز الرئيسي,8908816.34
2023-01-24,الرباط - أكدال,12672387.43
2023-01-24,مراكش - جليز,8275859.26
2023-01-24,طنجة - وسط المدينة,9178744.49
2023-01-24,فاس - النرجس,10703841.89
2023-01-25,الدار البيضاء - المركز الرئيسي,11333888.57
2023-01-25,الرباط - أكدال,8764238.17
2023-01-25,مراكش - جليز,10374639.33
2023-01-25,طنجة - وسط المدينة,4990618.98
2023-01-25,فاس - النرجس,11040139.64
2023-01-26,الدار البيضاء - المركز الرئيسي,10014913.07
2023-01-26,الرباط - أكدال,9655421.52
2023-01-26,مراكش - جليز,11470416.83
2023-01-26,طنجة - وسط المدينة,4108349.82
2023-01-26,فاس - النرجس,4742749.79
2023-01-27,الدار البيضاء - المركز الرئيسي,11435057.77
2023-01-27,الرباط - أكدال,9674779.72
2023-01-27,مراكش - جليز,6741554.67
2023-01-27,طنجة - وسط المدينة,5318164.39
2023-01-27,فاس - النرجس,4188505.98
2023-01-28,الدار البيضاء - المركز الرئيسي,4409691.86
2023-01-28,الرباط - أكدال,9188649.09
2023-01-28,مراكش - جليز,12005148.93
2023-01-28,طنجة - وسط المدينة,8340427.26
2023-01-28,فاس - النرجس,12303427.95
2023-01-29,الدار البيضاء - المركز الرئيسي,8023872.88
2023-01-29,الرباط - أكدال,10805779.13
2023-01-29,مراكش - جليز,11967896.87
2023-01-29,طنجة - وسط المدينة,10625783.63
2023-01-29,فاس - النرجس,12658922.44
2023-01-30,الدار البيضاء - المركز الرئيسي,7334391.71
2023-01-30,الرباط - أكدال,12492409.64
2023-01-30,مراكش - جليز,7696741.97
2023-01-30,طنجة - وسط المدينة,4831448.81
2023-01-30,فاس - النرجس,7206449.85
2023-01-31,الدار البيضاء - المركز الرئيسي,7301611.83
2023-01-31,الرباط - أكدال,4181174.36
2023-01-31,مراكش - جليز,4403983.31
2023-01-31,طنجة - وسط المدينة,8552040.26
